plant_id,plant_name,month,net_gen_mwh,year,county,state,hours_in_month,plant_capacity_mw,max_gen_plant_mwh,cf_plant,max_gen_portfolio_mwh,cf_portfolio
58720,Pattern Panhandle Wind 2 LLC,6,57135.567,2017,Carson,TX,720,181.7,130823.99999999999,0.436736126398826,288000,0.19838738541666667
58242,Pattern Panhandle Wind LLC,7,45337.0,2017,Carson,TX,744,218.0,162192.0,0.2795267337476571,297600,0.15234206989247312
58720,Pattern Panhandle Wind 2 LLC,7,52931.526,2017,Carson,TX,744,181.7,135184.8,0.39154939016812546,297600,0.17786131048387097
58242,Pattern Panhandle Wind LLC,8,32200.0,2017,Carson,TX,744,218.0,162192.0,0.19853013712143633,297600,0.1081989247311828
58720,Pattern Panhandle Wind 2 LLC,8,43434.267,2017,Carson,TX,744,181.7,135184.8,0.32129549328030965,297600,0.14594847782258064
58242,Pattern Panhandle Wind LLC,9,59051.0,2017,Carson,TX,720,218.0,156960.0,0.37621687054026504,288000,0.20503819444444443
58720,Pattern Panhandle Wind 2 LLC,9,55145.586,2017,Carson,TX,720,181.7,130823.99999999999,0.42152499541368565,288000,0.19147772916666667
58242,Pattern Panhandle Wind LLC,10,85868.0,2017,Carson,TX,744,218.0,162192.0,0.5294219197001085,297600,0.2885349462365591
58720,Pattern Panhandle Wind 2 LLC,10,68571.639,2017,Carson,TX,744,181.7,135184.8,0.5072437063930264,297600,0.23041545362903224
58242,Pattern Panhandle Wind LLC,11,56719.0,2017,Carson,TX,720,218.0,156960.0,0.36135958205912333,288000,0.19694097222222223
58720,Pattern Panhandle Wind 2 LLC,11,66250.403,2017,Carson,TX,720,181.7,130823.99999999999,0.5064086329725433,288000,0.2300361215277778
58242,Pattern Panhandle Wind LLC,12,44425.0,2017,Carson,TX,744,218.0,162192.0,0.273903768373286,297600,0.14927755376344087
58720,Pattern Panhandle Wind 2 LLC,12,58970.356,2017,Carson,TX,744,181.7,135184.8,0.43622031470993783,297600,0.19815307795698925
58242,Pattern Panhandle Wind LLC,1,63311.0,2018,Carson,TX,744,218.0,162192.0,0.3903460096675545,297600,0.2127385752688172
58720,Pattern Panhandle Wind 2 LLC,1,67286.481,2018,Carson,TX,744,181.7,135184.8,0.4977370310863352,297600,0.22609704637096775
58242,Pattern Panhandle Wind LLC,2,49934.0,2018,Carson,TX,672,218.0,146496.0,0.3408557230231542,268800,0.18576636904761903
58720,Pattern Panhandle Wind 2 LLC,2,61535.041,2018,Carson,TX,672,181.7,122102.4,0.5039625838640355,268800,0.22892500372023808
58242,Pattern Panhandle Wind LLC,3,55625.0,2018,Carson,TX,744,218.0,162192.0,0.3429577291111769,297600,0.1869119623655914
58720,Pattern Panhandle Wind 2 LLC,3,73429.746,2018,Carson,TX,744,181.7,135184.8,0.5431804907060558,297600,0.24673973790322581
58242,Pattern Panhandle Wind LLC,4,77394.0,2018,Carson,TX,720,218.0,156960.0,0.49308103975535167,288000,0.2687291666666667
58720,Pattern Panhandle Wind 2 LLC,4,76063.529,2018,Carson,TX,720,181.7,130823.99999999999,0.5814187687274507,288000,0.26410947569444443
58242,Pattern Panhandle Wind LLC,5,81069.0,2018,Carson,TX,744,218.0,162192.0,0.499833530630364,297600,0.2724092741935484
58720,Pattern Panhandle Wind 2 LLC,5,77562.13,2018,Carson,TX,744,181.7,135184.8,0.5737488978050788,297600,0.260625436827957
58242,Pattern Panhandle Wind LLC,6,84051.0,2018,Carson,TX,720,218.0,156960.0,0.535493119266055,288000,0.29184375
58720,Pattern Panhandle Wind 2 LLC,6,77730.82,2018,Carson,TX,720,181.7,130823.99999999999,0.5941633033694125,288000,0.2698986805555556
58242,Pattern Panhandle Wind LLC,7,45321.0,2018,Carson,TX,744,218.0,162192.0,0.27942808523231727,297600,0.1522883064516129
58720,Pattern Panhandle Wind 2 LLC,7,46960.815,2018,Carson,TX,744,181.7,135184.8,0.34738236103467257,297600,0.1577984375
58242,Pattern Panhandle Wind LLC,8,60120.0,2018,Carson,TX,744,218.0,162192.0,0.37067179638946435,297600,0.20201612903225807
58720,Pattern Panhandle Wind 2 LLC,8,59954.004,2018,Carson,TX,744,181.7,135184.8,0.44349663571644155,297600,0.20145834677419355
58242,Pattern Panhandle Wind LLC,9,58130.0,2018,Carson,TX,720,218.0,156960.0,0.37034913353720694,288000,0.20184027777777777
